,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
1047,Distribution Center,2,GREATER DUWAMISH,1998,1,35579,Distribution Center,35579.0,None,0.0,None,0.0,72.0,35.40000153,1259267.75,0.0,416047.0,680599.0,39.05,1.1
1049,Distribution Center,2,GREATER DUWAMISH,1975,1,49950,Distribution Center,49950.0,None,0.0,None,0.0,77.0,4.800000191,238969.7031,0.0,238970.0,0.0,1.67,0.03
1051,K-12 School,3,EAST,2001,3,62078,K-12 School,62078.0,None,0.0,None,0.0,97.0,35.20000076,2187712.5,0.0,1151755.0,803258.0,50.69,0.82
1054,Worship Facility,7,MAGNOLIA / QUEEN ANNE,1947,2,22612,Worship Facility,22612.0,None,0.0,None,0.0,87.0,37.79999924,854810.625,0.0,156920.0,574402.0,31.6,1.4
1058,Other,5,NORTH,1976,2,38787,Automobile Dealership,38787.0,Parking,0.0,None,0.0,,90.59999847,3513828.25,0.0,2225423.0,979262.0,67.52,1.74
1059,Self-Storage Facility,5,NORTH,1988,2,50368,Self-Storage Facility,50369.0,None,0.0,None,0.0,,17.79999924,897822.875,0.0,247692.0,505583.0,28.58,0.57
1060,Warehouse,2,GREATER DUWAMISH,1938,1,30545,Non-Refrigerated Warehouse,23545.0,Office,7000.0,None,0.0,12.0,60.90000153,1861291.25,0.0,481781.0,1095260.0,61.53,2.01
1071,K-12 School,7,MAGNOLIA / QUEEN ANNE,1922,3,32691,K-12 School,33550.0,None,0.0,None,0.0,99.0,32.70000076,1095913.75,0.0,472481.0,499509.0,29.82,0.91
1073,Worship Facility,7,MAGNOLIA / QUEEN ANNE,1963,2,24227,Worship Facility,26210.0,None,0.0,None,0.0,55.0,47.29999924,1238854.625,0.0,219393.0,867285.0,47.59,1.96
1081,Distribution Center,2,GREATER DUWAMISH,1956,1,27000,Distribution Center,27000.0,None,0.0,None,0.0,61.0,27.20000076,735187.125,0.0,341140.0,310153.0,18.85,0.7
1092,K-12 School,4,LAKE UNION,1999,3,95501,K-12 School,95501.0,None,0.0,None,0.0,88.0,34.0,3244148.0,0.0,2100632.0,909335.0,62.94,0.66
1093,Small- and Mid-Sized Office,4,LAKE UNION,1957,2,21183,Office,13945.0,Parking,7238.0,None,0.0,99.0,25.89999962,361542.0938,0.0,361542.0,0.0,2.52,0.12
1094,Small- and Mid-Sized Office,4,LAKE UNION,1961,3,29392,Office,29392.0,Parking,3834.0,None,0.0,91.0,27.39999962,804510.375,0.0,735889.0,19729.0,6.18,0.21
1096,Large Office,4,LAKE UNION,1985,5,137738,Office,77796.0,Parking,55504.0,Other,4438.0,62.0,58.90000153,4843339.0,0.0,4704936.0,0.0,32.8,0.24
1105,Large Office,4,LAKE UNION,2013,5,206126,Office,101941.0,Parking,73177.0,Other,8324.0,98.0,40.79999924,4515744.5,0.0,3601473.0,887828.0,72.26,0.35
1106,Small- and Mid-Sized Office,4,LAKE UNION,1900,2,20500,Office,20500.0,None,0.0,None,0.0,48.0,64.69999695,1326178.125,0.0,1282333.0,43845.0,11.27,0.55
1109,Senior Care Community,6,BALLARD,1966,2,34636,Senior Care Community,36000.0,Parking,0.0,None,0.0,3.0,355.7000122,12805711.0,0.0,3561375.0,8587344.0,480.9,13.88
1110,Worship Facility,4,NORTHEAST,1930,2,25521,Worship Facility,25521.0,None,0.0,None,0.0,82.0,26.89999962,685885.625,0.0,361384.0,243802.0,15.47,0.61
1111,K-12 School,4,NORTHEAST,1986,1,23190,K-12 School,23190.0,None,0.0,None,0.0,79.0,83.19999695,1929416.5,0.0,486316.0,1219199.0,68.14,2.94
1115,Small- and Mid-Sized Office,6,NORTHWEST,1960,1,20678,Office,23100.0,None,0.0,None,0.0,98.0,37.90000153,875049.6875,0.0,179517.0,590816.0,32.63,1.58
1116,K-12 School,6,NORTHWEST,1922,3,28820,K-12 School,33780.0,None,0.0,None,0.0,43.0,87.59999847,2959193.75,0.0,680757.0,1915026.0,106.45,3.69
1119,Worship Facility,2,SOUTHEAST,1954,2,27876,Worship Facility,44816.0,None,0.0,None,0.0,69.0,46.79999924,2095655.25,0.0,611581.0,1218400.0,68.97,2.47
1120,K-12 School,7,MAGNOLIA / QUEEN ANNE,1925,1,48789,K-12 School,48789.0,None,0.0,None,0.0,94.0,29.10000038,1419585.125,0.0,857142.0,441165.0,29.41,0.6
1122,K-12 School,2,SOUTHEAST,1925,1,33105,K-12 School,33105.0,None,0.0,None,0.0,79.0,58.09999847,1924436.0,0.0,473807.0,1251530.0,69.77,2.11
1123,Senior Care Community,2,SOUTHEAST,1966,2,48882,Senior Care Community,41922.0,Parking,9079.0,None,0.0,51.0,168.1000061,7048919.0,0.0,2708255.0,4074180.0,235.26,4.81
1124,Warehouse,2,GREATER DUWAMISH,1977,1,22320,Non-Refrigerated Warehouse,22320.0,None,0.0,None,0.0,62.0,20.70000076,462174.4063,0.0,439066.0,0.0,3.06,0.14
